username,platform,date,time,wins,mvps,goals,assists,saves,shots,casual_mmr,1v1rank,1v1division,1v1mmr,1v1matches,2v2rank,2v2division,2v2mmr,2v2matches,3v3rank,3v3division,3v3mmr,3v3mathes,ourgoals,theirgoals,overtime,forfeit
filete_filete, Epic,2025-11-09,17:25,,,,,,,,,,,,Platinum II,Division III,,Matches Played: 0,,,,,3,1,0,
filete_filete, Epic,2025-11-09,17:34,,,,,,,,,,,,Platinum II,Division III,,Matches Played: 1,,,,,4,1,0,
filete_filete, Epic,2025-11-09,17:43,,,,,,,,,,,,Platinum II,Division III,,Matches Played: 2,,,,,4,3,1,
filete_filete, Epic,2025-11-09,17:52,,,,,,,,,,,,Platinum II,Division III,,Matches Played: 3,,,,,2,3,1,
filete_filete, Epic,2025-11-09,18:01,,,,,,,,,,,,Platinum II,Division II,,Matches Played: 4,,,,,2,3,0,
filete_filete, Epic,2025-11-09,18:12,,,,,,,,,,,,Platinum II,Division III,,Matches Played: 5,,,,,7,5,0,
filete_filete, Epic,2025-11-09,21:06,,,,,,,,,,,,Platinum II,Division III,,Matches Played: 5,,,,,2,5,0,
filete_filete, Epic,2025-11-09,21:14,,,,,,,,,,,,Platinum II,Division II,,Matches Played: 6,,,,,0,4,0,
filete_filete, Epic,2025-11-09,21:16,,,,,,,,,,,,Platinum II,Division III,,Matches Played: 7,,,,,3,0,0,
filete_filete, Epic,2025-11-09,21:24,,,,,,,,,,,,Platinum II,Division III,,Matches Played: 8,,,,,3,2,0,
filete_filete, Epic,2025-11-09,21:33,,,,,,,,,,,,Platinum II,Division IV,,Matches Played: 9,,,,,5,4,0,
filete_filete, Epic,2025-11-09,21:47,,,,,,,,,,,,Platinum II,Division IV,,Matches Played: 10,,,,,4,1,0,
filete_filete, Epic,2025-11-12,14:45,,,,,,,,,,,,Platinum II,Division IV,,Matches Played: 10,,,,,4,0,0,
filete_filete, Epic,2025-11-12,14:54,,,,,,,,,,,,Platinum III,Division II,,Matches Played: 11,,,,,3,2,1,
filete_filete, Epic,2025-11-12,15:01,,,,,,,,,,,,Platinum III,Division I,,Matches Played: 12,,,,,0,5,0,
filete_filete, Epic,2025-11-12,15:09,,,,,,,,,,,,Platinum III,Division II,,Matches Played: 13,,,,,3,2,0,
filete_filete, Epic,2025-11-12,15:17,,,,,,,,,,,,Platinum III,Division II,,Matches Played: 14,,,,,5,1,0,
filete_filete, Epic,2025-11-12,15:27,,,,,,,,,,,,Platinum III,Division II,,Matches Played: 15,,,,,3,7,0,
filete_filete, Epic,2025-11-18,12:12,,,,,,,,,,,,Platinum III,Division II,,Matches Played: 15,,,,,0,1,0,
filete_filete, Epic,2025-11-18,12:19,,,,,,,,,,,,Platinum III,Division II,,Matches Played: 16,,,,,3,2,0,
filete_filete, Epic,2025-11-18,12:27,,,,,,,,,,,,Platinum III,Division III,,Matches Played: 17,,,,,2,1,0,
filete_filete, Epic,2025-11-18,12:35,,,,,,,,,,,,Platinum III,Division II,,Matches Played: 18,,,,,1,4,0,
filete_filete, Epic,2025-11-18,12:44,,,,,,,,,,,,Platinum III,Division II,,Matches Played: 19,,,,,2,4,0,
filete_filete, Epic,2025-11-18,12:52,,,,,,,,,,,,Platinum III,Division I,,Matches Played: 20,,,,,4,5,1,
filete_filete, Epic,2025-11-18,13:00,,,,,,,,,,,,Platinum III,Division II,,Matches Played: 21,,,,,3,1,0,
filete_filete, Epic,2025-11-19,19:30,,,,,,,,,,,,Platinum III,Division II,,Matches Played: 21,,,,,4,2,0,
filete_filete, Epic,2025-11-19,19:40,,,,,,,,,,,,Platinum III,Division II,,Matches Played: 22,,,,,3,2,1,
filete_filete, Epic,2025-11-19,19:48,,,,,,,,,,,,Platinum III,Division III,,Matches Played: 23,,,,,3,2,1,
filete_filete, Epic,2025-11-19,19:58,,,,,,,,,,,,Platinum III,Division II,,Matches Played: 24,,,,,4,5,1,
filete_filete, Epic,2025-11-19,20:07,,,,,,,,,,,,Platinum III,Division II,,Matches Played: 25,,,,,1,5,0,
filete_filete, Epic,2025-11-19,20:17,,,,,,,,,,,,Platinum III,Division II,,Matches Played: 26,,,,,5,3,0,
filete_filete, Epic,2025-11-23,16:32,,,,,,,,,,,,Platinum III,Division II,,Matches Played: 26,,,,,2,4,0,
filete_filete, Epic,2025-11-23,16:40,,,,,,,,,,,,Platinum III,Division II,,Matches Played: 27,,,,,2,5,0,
filete_filete, Epic,2025-11-23,16:49,,,,,,,,,,,,Platinum III,Division I,,Matches Played: 28,,,,,3,4,0,
filete_filete, Epic,2025-11-23,16:58,,,,,,,,,,,,Platinum III,Division II,,Matches Played: 29,,,,,6,3,0,
filete_filete,Epic,2025-11-23,17:02,,,,,,,,,,,,Platinum III,Division II,,Matches Played: 30,,,,,4,0,0,
filete_filete,Epic,2025-11-23,17:10,,,,,,,,,,,,Platinum III,Division II,,Matches Played: 31,,,,,2,5,0,
filete_filete,Epic,2025-11-23,17:15,,,,,,,,,,,,Platinum III,Division II,,Matches Played: 32,,,,,4,0,0,
